source,disease,symptoms,description,text
Orphanet,Sandhoff disease,"Macrocephaly, Full cheeks, Hearing impairment, Blindness, Seizure, Ataxia, Muscle weakness, Failure to thrive, Congestive heart failure, Splenomegaly",Rare disease with 19 known phenotypic features,"Disease: Sandhoff disease | Symptoms: Macrocephaly, Full cheeks, Hearing impairment, Blindness, Seizure, Ataxia, Muscle weakness, Failure to thrive, Congestive heart failure, Splenomegaly | Description: Rare disease with 19 known phenotypic features | Source: Orphanet"
Orphanet,Mucopolysaccharidosis type 7,"Inguinal hernia, Coarse facial features, Short neck, Lymphedema, Intellectual disability, Hypotonia, Joint stiffness, Umbilical hernia, Ascites, Splenomegaly",Rare disease with 26 known phenotypic features,"Disease: Mucopolysaccharidosis type 7 | Symptoms: Inguinal hernia, Coarse facial features, Short neck, Lymphedema, Intellectual disability, Hypotonia, Joint stiffness, Umbilical hernia, Ascites, Splenomegaly | Description: Rare disease with 26 known phenotypic features | Source: Orphanet"
Orphanet,Recessive X-linked ichthyosis,"Dry skin, Hyperkeratosis, Hypohidrosis, Ichthyosis, Attention deficit hyperactivity disorder, Opacification of the corneal stroma, Cryptorchidism, Autism, Motor delay, Abnormality of speech or vocalization",Rare disease with 12 known phenotypic features,"Disease: Recessive X-linked ichthyosis | Symptoms: Dry skin, Hyperkeratosis, Hypohidrosis, Ichthyosis, Attention deficit hyperactivity disorder, Opacification of the corneal stroma, Cryptorchidism, Autism, Motor delay, Abnormality of speech or vocalization | Description: Rare disease with 12 known phenotypic features | Source: Orphanet"
Orphanet,Turner syndrome,"Abnormal pinna morphology, Thyroiditis, Gonadoblastoma, Gastrointestinal angiodysplasia, Cirrhosis, Inflammation of the large intestine, Biliary cirrhosis, Aortic dissection, Melanoma, Hypoplastic left heart",Rare disease with 115 known phenotypic features,"Disease: Turner syndrome | Symptoms: Abnormal pinna morphology, Thyroiditis, Gonadoblastoma, Gastrointestinal angiodysplasia, Cirrhosis, Inflammation of the large intestine, Biliary cirrhosis, Aortic dissection, Melanoma, Hypoplastic left heart | Description: Rare disease with 115 known phenotypic features | Source: Orphanet"
Orphanet,Beta-thalassemia,"Abnormality of the skeletal system, Pallor, Splenomegaly, Anemia, Microcytic anemia, Abnormal hemoglobin, Hypogonadotropic hypogonadism, Irritability, Abnormal skull morphology, Muscle weakness",Rare disease with 21 known phenotypic features,"Disease: Beta-thalassemia | Symptoms: Abnormality of the skeletal system, Pallor, Splenomegaly, Anemia, Microcytic anemia, Abnormal hemoglobin, Hypogonadotropic hypogonadism, Irritability, Abnormal skull morphology, Muscle weakness | Description: Rare disease with 21 known phenotypic features | Source: Orphanet"
Orphanet,Cystic fibrosis,"Depression, Anxiety, Osteopenia, Abnormality of the liver, Gastroesophageal reflux, Rectal prolapse, Asthma, Steatorrhea, Recurrent Aspergillus infections, Recurrent Staphylococcus aureus infections",Rare disease with 35 known phenotypic features,"Disease: Cystic fibrosis | Symptoms: Depression, Anxiety, Osteopenia, Abnormality of the liver, Gastroesophageal reflux, Rectal prolapse, Asthma, Steatorrhea, Recurrent Aspergillus infections, Recurrent Staphylococcus aureus infections | Description: Rare disease with 35 known phenotypic features | Source: Orphanet"
Orphanet,Alpha-thalassemia,"Cholelithiasis, Splenomegaly, Hydrops fetalis, Hemolytic anemia, Anemia, Hypersplenism, Myelodysplasia, Anisopoikilocytosis, Hemoglobin Barts, Malar prominence",Rare disease with 23 known phenotypic features,"Disease: Alpha-thalassemia | Symptoms: Cholelithiasis, Splenomegaly, Hydrops fetalis, Hemolytic anemia, Anemia, Hypersplenism, Myelodysplasia, Anisopoikilocytosis, Hemoglobin Barts, Malar prominence | Description: Rare disease with 23 known phenotypic features | Source: Orphanet"
Orphanet,Facioscapulohumeral dystrophy,"Mask-like facies, Skeletal muscle atrophy, Elevated circulating creatine kinase concentration, Hyperlordosis, Progressive muscle weakness, Scapular winging, Sensorineural hearing impairment, Keratitis, Conjunctivitis, Pectus excavatum",Rare disease with 37 known phenotypic features,"Disease: Facioscapulohumeral dystrophy | Symptoms: Mask-like facies, Skeletal muscle atrophy, Elevated circulating creatine kinase concentration, Hyperlordosis, Progressive muscle weakness, Scapular winging, Sensorineural hearing impairment, Keratitis, Conjunctivitis, Pectus excavatum | Description: Rare disease with 37 known phenotypic features | Source: Orphanet"
Orphanet,Emery-Dreifuss muscular dystrophy,"Pectus excavatum, Reduced tendon reflexes, Joint stiffness, Myotonia, Myopathy, Elevated circulating creatine kinase concentration, Limb-girdle muscular dystrophy, Sprengel anomaly, Gait disturbance, Achilles tendon contracture",Rare disease with 44 known phenotypic features,"Disease: Emery-Dreifuss muscular dystrophy | Symptoms: Pectus excavatum, Reduced tendon reflexes, Joint stiffness, Myotonia, Myopathy, Elevated circulating creatine kinase concentration, Limb-girdle muscular dystrophy, Sprengel anomaly, Gait disturbance, Achilles tendon contracture | Description: Rare disease with 44 known phenotypic features | Source: Orphanet"
Orphanet,Kearns-Sayre syndrome,"Pigmentary retinopathy, Progressive external ophthalmoplegia, Third degree atrioventricular block, Hearing impairment, Ptosis, Anterior hypopituitarism, Ataxia, Hypotonia, Reduced tendon reflexes, Increased CSF protein concentration",Rare disease with 30 known phenotypic features,"Disease: Kearns-Sayre syndrome | Symptoms: Pigmentary retinopathy, Progressive external ophthalmoplegia, Third degree atrioventricular block, Hearing impairment, Ptosis, Anterior hypopituitarism, Ataxia, Hypotonia, Reduced tendon reflexes, Increased CSF protein concentration | Description: Rare disease with 30 known phenotypic features | Source: Orphanet"
Orphanet,Thomsen and Becker disease,"Myotonia, EMG abnormality, Muscle stiffness, Myotonia with warm-up phenomenon, EMG: myotonic discharges, Myalgia, Skeletal muscle hypertrophy, Clumsiness, Muscle spasm, EMG: myopathic abnormalities",Rare disease with 15 known phenotypic features,"Disease: Thomsen and Becker disease | Symptoms: Myotonia, EMG abnormality, Muscle stiffness, Myotonia with warm-up phenomenon, EMG: myotonic discharges, Myalgia, Skeletal muscle hypertrophy, Clumsiness, Muscle spasm, EMG: myopathic abnormalities | Description: Rare disease with 15 known phenotypic features | Source: Orphanet"
Orphanet,MERRF,"Sensorineural hearing impairment, Optic atrophy, Multiple lipomas, Ataxia, Generalized myoclonic seizure, Myopathy, Ragged-red muscle fibers, EMG abnormality, Short stature, Abnormality of movement",Rare disease with 11 known phenotypic features,"Disease: MERRF | Symptoms: Sensorineural hearing impairment, Optic atrophy, Multiple lipomas, Ataxia, Generalized myoclonic seizure, Myopathy, Ragged-red muscle fibers, EMG abnormality, Short stature, Abnormality of movement | Description: Rare disease with 11 known phenotypic features | Source: Orphanet"
Orphanet,Central core disease,"Joint hypermobility, Hypotonia, Motor delay, Congenital hip dislocation, Mitral valve prolapse, Talipes equinovarus, Pes planus, Malignant hyperthermia, Kyphoscoliosis, Multiple joint contractures",Rare disease with 25 known phenotypic features,"Disease: Central core disease | Symptoms: Joint hypermobility, Hypotonia, Motor delay, Congenital hip dislocation, Mitral valve prolapse, Talipes equinovarus, Pes planus, Malignant hyperthermia, Kyphoscoliosis, Multiple joint contractures | Description: Rare disease with 25 known phenotypic features | Source: Orphanet"
Orphanet,Fabry disease,"Renal insufficiency, Nephrotic syndrome, Hearing impairment, Conjunctival telangiectasia, Hematuria, Hyperkeratosis, Hypohidrosis, Angiokeratoma, Corneal dystrophy, Arthritis",Rare disease with 76 known phenotypic features,"Disease: Fabry disease | Symptoms: Renal insufficiency, Nephrotic syndrome, Hearing impairment, Conjunctival telangiectasia, Hematuria, Hyperkeratosis, Hypohidrosis, Angiokeratoma, Corneal dystrophy, Arthritis | Description: Rare disease with 76 known phenotypic features | Source: Orphanet"
Orphanet,Marfan syndrome,"Disproportionate tall stature, Slender build, Pes planus, Spontaneous pneumothorax, Aortic root aneurysm, Aortic aneurysm, Chronic fatigue, Narrow face, Visual impairment, Myopia",Rare disease with 68 known phenotypic features,"Disease: Marfan syndrome | Symptoms: Disproportionate tall stature, Slender build, Pes planus, Spontaneous pneumothorax, Aortic root aneurysm, Aortic aneurysm, Chronic fatigue, Narrow face, Visual impairment, Myopia | Description: Rare disease with 68 known phenotypic features | Source: Orphanet"
Orphanet,Ataxia-telangiectasia,"Abnormal testis morphology, Polycystic ovaries, Strabismus, Abnormality of eye movement, Nystagmus, Diabetes mellitus, Delayed puberty, Seizure, Ataxia, Spasticity",Rare disease with 37 known phenotypic features,"Disease: Ataxia-telangiectasia | Symptoms: Abnormal testis morphology, Polycystic ovaries, Strabismus, Abnormality of eye movement, Nystagmus, Diabetes mellitus, Delayed puberty, Seizure, Ataxia, Spasticity | Description: Rare disease with 37 known phenotypic features | Source: Orphanet"
Orphanet,Down syndrome,"Brachycephaly, Epicanthus, Short neck, Thickened nuchal skin fold, Upslanted palpebral fissure, Brachydactyly, Intellectual disability, Hypotonia, Specific learning disability, Joint hypermobility",Rare disease with 72 known phenotypic features,"Disease: Down syndrome | Symptoms: Brachycephaly, Epicanthus, Short neck, Thickened nuchal skin fold, Upslanted palpebral fissure, Brachydactyly, Intellectual disability, Hypotonia, Specific learning disability, Joint hypermobility | Description: Rare disease with 72 known phenotypic features | Source: Orphanet"
Orphanet,CHARGE syndrome,"Abnormal pinna morphology, Posteriorly rotated ears, Cryptorchidism, Hypogonadotropic hypogonadism, Micropenis, Abnormality of the inner ear, Hearing impairment, Overfolded helix, Anosmia, Coloboma",Rare disease with 94 known phenotypic features,"Disease: CHARGE syndrome | Symptoms: Abnormal pinna morphology, Posteriorly rotated ears, Cryptorchidism, Hypogonadotropic hypogonadism, Micropenis, Abnormality of the inner ear, Hearing impairment, Overfolded helix, Anosmia, Coloboma | Description: Rare disease with 94 known phenotypic features | Source: Orphanet"
Orphanet,Oculocerebrorenal syndrome of Lowe,"Joint hypermobility, Posteriorly rotated ears, Feeding difficulties in infancy, Neoplasm of the skin, Low levels of vitamin D, Abnormality of calcium-phosphate metabolism, Self-injurious behavior, Benign neoplasm of the central nervous system, Inguinal hernia, Azoospermia",Rare disease with 120 known phenotypic features,"Disease: Oculocerebrorenal syndrome of Lowe | Symptoms: Joint hypermobility, Posteriorly rotated ears, Feeding difficulties in infancy, Neoplasm of the skin, Low levels of vitamin D, Abnormality of calcium-phosphate metabolism, Self-injurious behavior, Benign neoplasm of the central nervous system, Inguinal hernia, Azoospermia | Description: Rare disease with 120 known phenotypic features | Source: Orphanet"
Orphanet,Retinoblastoma,"Retinoblastoma, Strabismus, Glaucoma, Proptosis, Leukocoria, Hypopyon, Uveitis, Heterochromia iridis, Leukemia, Lymphoma",Rare disease with 27 known phenotypic features,"Disease: Retinoblastoma | Symptoms: Retinoblastoma, Strabismus, Glaucoma, Proptosis, Leukocoria, Hypopyon, Uveitis, Heterochromia iridis, Leukemia, Lymphoma | Description: Rare disease with 27 known phenotypic features | Source: Orphanet"
Orphanet,Fragile X syndrome,"Joint hypermobility, Macroorchidism, Chronic otitis media, Pes planus, Abnormality of speech or vocalization, Intellectual disability, moderate, Folate-dependent fragile site at Xq28, Sinusitis, Macrocephaly, Narrow face",Rare disease with 33 known phenotypic features,"Disease: Fragile X syndrome | Symptoms: Joint hypermobility, Macroorchidism, Chronic otitis media, Pes planus, Abnormality of speech or vocalization, Intellectual disability, moderate, Folate-dependent fragile site at Xq28, Sinusitis, Macrocephaly, Narrow face | Description: Rare disease with 33 known phenotypic features | Source: Orphanet"
Orphanet,Mucopolysaccharidosis type 1,"Inguinal hernia, Thick lower lip vermilion, Gingival overgrowth, Everted lower lip vermilion, Hydrocephalus, Sinusitis, Macrocephaly, Dolichocephaly, Abnormality of the face, Coarse facial features",Rare disease with 57 known phenotypic features,"Disease: Mucopolysaccharidosis type 1 | Symptoms: Inguinal hernia, Thick lower lip vermilion, Gingival overgrowth, Everted lower lip vermilion, Hydrocephalus, Sinusitis, Macrocephaly, Dolichocephaly, Abnormality of the face, Coarse facial features | Description: Rare disease with 57 known phenotypic features | Source: Orphanet"
Orphanet,22q11.2 deletion syndrome,"Joint hypermobility, Abnormality of T cell physiology, Cleft palate, Epicanthus, Low-set ears, Conductive hearing impairment, Bulbous nose, Prominent nasal bridge, Wide nasal bridge, Telecanthus",Rare disease with 131 known phenotypic features,"Disease: 22q11.2 deletion syndrome | Symptoms: Joint hypermobility, Abnormality of T cell physiology, Cleft palate, Epicanthus, Low-set ears, Conductive hearing impairment, Bulbous nose, Prominent nasal bridge, Wide nasal bridge, Telecanthus | Description: Rare disease with 131 known phenotypic features | Source: Orphanet"
Orphanet,Williams syndrome,"Recurrent urinary tract infections, Abnormality of the bladder, Bladder diverticulum, Inguinal hernia, Functional abnormality of male internal genitalia, Cryptorchidism, Hypogonadotropic hypogonadism, Renal duplication, Vesicoureteral reflux, Renal insufficiency",Rare disease with 186 known phenotypic features,"Disease: Williams syndrome | Symptoms: Recurrent urinary tract infections, Abnormality of the bladder, Bladder diverticulum, Inguinal hernia, Functional abnormality of male internal genitalia, Cryptorchidism, Hypogonadotropic hypogonadism, Renal duplication, Vesicoureteral reflux, Renal insufficiency | Description: Rare disease with 186 known phenotypic features | Source: Orphanet"
Orphanet,Wolf-Hirschhorn syndrome,"Downslanted palpebral fissures, Hypodontia, Seizure, Ataxia, Hypotonia, Global developmental delay, Failure to thrive, Intrauterine growth retardation, Decreased fetal movement, Frontal bossing",Rare disease with 95 known phenotypic features,"Disease: Wolf-Hirschhorn syndrome | Symptoms: Downslanted palpebral fissures, Hypodontia, Seizure, Ataxia, Hypotonia, Global developmental delay, Failure to thrive, Intrauterine growth retardation, Decreased fetal movement, Frontal bossing | Description: Rare disease with 95 known phenotypic features | Source: Orphanet"
Orphanet,Ataxia with vitamin E deficiency,"Ataxia, Areflexia, Muscle weakness, Babinski sign, Abnormal pyramidal sign, Peripheral neuropathy, Low levels of vitamin E, Nystagmus, Nyctalopia, Sensory neuropathy",Rare disease with 37 known phenotypic features,"Disease: Ataxia with vitamin E deficiency | Symptoms: Ataxia, Areflexia, Muscle weakness, Babinski sign, Abnormal pyramidal sign, Peripheral neuropathy, Low levels of vitamin E, Nystagmus, Nyctalopia, Sensory neuropathy | Description: Rare disease with 37 known phenotypic features | Source: Orphanet"
Orphanet,Rheumatic fever,"Nephrotic syndrome, Sinusitis, Epistaxis, Atypical behavior, Pallor, Gait disturbance, Arthritis, Subcutaneous nodule, Abnormal mitral valve morphology, Abnormal aortic valve morphology",Rare disease with 36 known phenotypic features,"Disease: Rheumatic fever | Symptoms: Nephrotic syndrome, Sinusitis, Epistaxis, Atypical behavior, Pallor, Gait disturbance, Arthritis, Subcutaneous nodule, Abnormal mitral valve morphology, Abnormal aortic valve morphology | Description: Rare disease with 36 known phenotypic features | Source: Orphanet"
Orphanet,X-linked agammaglobulinemia,"Glossoptosis, Sinusitis, Chronic otitis media, Sensorineural hearing impairment, Conjunctivitis, Skin rash, Hypopigmented skin patches, Meningitis, Arthritis, Failure to thrive",Rare disease with 35 known phenotypic features,"Disease: X-linked agammaglobulinemia | Symptoms: Glossoptosis, Sinusitis, Chronic otitis media, Sensorineural hearing impairment, Conjunctivitis, Skin rash, Hypopigmented skin patches, Meningitis, Arthritis, Failure to thrive | Description: Rare disease with 35 known phenotypic features | Source: Orphanet"
Orphanet,Wiskott-Aldrich syndrome,"Nephropathy, Abnormality of the menstrual cycle, Gingival bleeding, Sinusitis, Otitis media, Chronic otitis media, Epistaxis, Keratitis, Blepharitis, Conjunctivitis",Rare disease with 57 known phenotypic features,"Disease: Wiskott-Aldrich syndrome | Symptoms: Nephropathy, Abnormality of the menstrual cycle, Gingival bleeding, Sinusitis, Otitis media, Chronic otitis media, Epistaxis, Keratitis, Blepharitis, Conjunctivitis | Description: Rare disease with 57 known phenotypic features | Source: Orphanet"
Orphanet,Hypophosphatasia,"Abnormality of the dentition, Large fontanelles, Irritability, Abnormal rib morphology, Narrow chest, Abnormal metaphysis morphology, Skin dimple over apex of long bone angulation, Seizure, Hypotonia, Craniosynostosis",Rare disease with 20 known phenotypic features,"Disease: Hypophosphatasia | Symptoms: Abnormality of the dentition, Large fontanelles, Irritability, Abnormal rib morphology, Narrow chest, Abnormal metaphysis morphology, Skin dimple over apex of long bone angulation, Seizure, Hypotonia, Craniosynostosis | Description: Rare disease with 20 known phenotypic features | Source: Orphanet"
Orphanet,Hydrocephalus with stenosis of the aqueduct of Sylvius,"Hydrocephalus, Coarse facial features, Strabismus, Nystagmus, Adducted thumb, Seizure, Spasticity, Agenesis of corpus callosum, Absent septum pellucidum, Holoprosencephaly",Rare disease with 15 known phenotypic features,"Disease: Hydrocephalus with stenosis of the aqueduct of Sylvius | Symptoms: Hydrocephalus, Coarse facial features, Strabismus, Nystagmus, Adducted thumb, Seizure, Spasticity, Agenesis of corpus callosum, Absent septum pellucidum, Holoprosencephaly | Description: Rare disease with 15 known phenotypic features | Source: Orphanet"
Orphanet,Ornithine transcarbamylase deficiency,"Hepatic failure, Splenomegaly, Hypoglycemia, Hyperammonemia, Aminoaciduria, Seizure, Hypotonia, Lethargy, Coma, Encephalopathy",Rare disease with 29 known phenotypic features,"Disease: Ornithine transcarbamylase deficiency | Symptoms: Hepatic failure, Splenomegaly, Hypoglycemia, Hyperammonemia, Aminoaciduria, Seizure, Hypotonia, Lethargy, Coma, Encephalopathy | Description: Rare disease with 29 known phenotypic features | Source: Orphanet"
Orphanet,Kennedy disease,"Testicular atrophy, Decreased fertility, Gynecomastia, Hypotonia, Dysarthria, Hyporeflexia, Gait disturbance, Dysphonia, Abnormal circulating lipid concentration, Skeletal muscle atrophy",Rare disease with 13 known phenotypic features,"Disease: Kennedy disease | Symptoms: Testicular atrophy, Decreased fertility, Gynecomastia, Hypotonia, Dysarthria, Hyporeflexia, Gait disturbance, Dysphonia, Abnormal circulating lipid concentration, Skeletal muscle atrophy | Description: Rare disease with 13 known phenotypic features | Source: Orphanet"
Orphanet,Rubinstein-Taybi syndrome,"High palate, Hypertelorism, Low-set ears, Convex nasal ridge, Downslanted palpebral fissures, Telecanthus, Delayed speech and language development, Brachydactyly, Intellectual disability, Global developmental delay",Rare disease with 66 known phenotypic features,"Disease: Rubinstein-Taybi syndrome | Symptoms: High palate, Hypertelorism, Low-set ears, Convex nasal ridge, Downslanted palpebral fissures, Telecanthus, Delayed speech and language development, Brachydactyly, Intellectual disability, Global developmental delay | Description: Rare disease with 66 known phenotypic features | Source: Orphanet"
Orphanet,X-linked retinoschisis,"Abnormality of eye movement, Glaucoma, Abnormality of vision, Abnormal electroretinogram, Progressive visual loss, Retinoschisis, Abnormal foveal morphology, Retinal pigment epithelial atrophy, Vitreous hemorrhage, Electronegative electroretinogram",Rare disease with 16 known phenotypic features,"Disease: X-linked retinoschisis | Symptoms: Abnormality of eye movement, Glaucoma, Abnormality of vision, Abnormal electroretinogram, Progressive visual loss, Retinoschisis, Abnormal foveal morphology, Retinal pigment epithelial atrophy, Vitreous hemorrhage, Electronegative electroretinogram | Description: Rare disease with 16 known phenotypic features | Source: Orphanet"
Orphanet,Hypochondroplasia,"Macrocephaly, Abnormal metaphysis morphology, Brachydactyly, Intellectual disability, Short toe, Abnormality of pelvic girdle bone morphology, Scoliosis, Skeletal dysplasia, Osteoarthritis, Abnormality of femur morphology",Rare disease with 20 known phenotypic features,"Disease: Hypochondroplasia | Symptoms: Macrocephaly, Abnormal metaphysis morphology, Brachydactyly, Intellectual disability, Short toe, Abnormality of pelvic girdle bone morphology, Scoliosis, Skeletal dysplasia, Osteoarthritis, Abnormality of femur morphology | Description: Rare disease with 20 known phenotypic features | Source: Orphanet"
Orphanet,X-linked hypohidrotic ectodermal dysplasia,"Everted lower lip vermilion, Depressed nasal ridge, Delayed eruption of teeth, Microdontia, Hypohidrosis, Sparse body hair, Sparse hair, Everted upper lip vermilion, Aplasia/Hypoplasia of the eyebrow, Frontal bossing",Rare disease with 14 known phenotypic features,"Disease: X-linked hypohidrotic ectodermal dysplasia | Symptoms: Everted lower lip vermilion, Depressed nasal ridge, Delayed eruption of teeth, Microdontia, Hypohidrosis, Sparse body hair, Sparse hair, Everted upper lip vermilion, Aplasia/Hypoplasia of the eyebrow, Frontal bossing | Description: Rare disease with 14 known phenotypic features | Source: Orphanet"
